iteration,wait_local_write_markers_sec,poll_sec,read_physics_json_sec,downlink_sec,write_scada_csv_sec,write_outputs_and_marker_sec,cycle_total_sec,poll_md_total,poll_coil_total,poll_error_total,downlink_written_total,downlink_skipped_total,downlink_error_total
84,0.3260105649824254,0.0162252529989928,0.00023907102877274156,0.013309875968843699,0.0010666989837773144,0.0003393840161152184,0.35723691602470353,35,0,0,6,0,0
85,0.326971958973445,0.015626382955815643,0.0002408009604550898,0.012726804008707404,0.0012829079641960561,0.0004223650321364403,0.35731589497299865,35,0,0,6,0,0
86,0.3207001489936374,0.016117444029077888,0.00027735100593417883,0.012954056030139327,0.0012437999830581248,0.0004184630233794451,0.3517605479573831,35,0,0,6,0,0
87,0.32564594596624374,0.01531031500780955,0.00022907496895641088,0.01273797603789717,0.0010511049767956138,0.00034420302836224437,0.3553614869597368,35,0,0,6,0,0
88,0.32008403103100136,0.01717706600902602,0.00023006502306088805,0.013233305013272911,0.0010609590099193156,0.00035660399589687586,0.3522157240076922,35,0,0,6,0,0
89,0.3253026580205187,0.01578632602468133,0.00022486003581434488,0.012869486003182828,0.0010424010106362402,0.00034531200071796775,0.35561836999841034,35,0,0,6,0,0
90,0.3256898560211994,0.015978295006789267,0.0002260530018247664,0.013885907013900578,0.001940349000506103,0.0004342150059528649,0.35820101300487295,35,0,0,6,0,0
91,0.3273555609630421,0.015874600037932396,0.00022728904150426388,0.012714816024526954,0.001038014015648514,0.00032485503470525146,0.35758265800541267,35,0,0,6,0,0
92,0.32507045299280435,0.0165960339945741,0.0004037749604322016,0.014270297018811107,0.0012415359960868955,0.0003952559782192111,0.3580398830235936,35,0,0,6,0,0
93,0.32913202996132895,0.01633888197829947,0.0002544379676692188,0.012596917047630996,0.0010493610170669854,0.00037407997297123075,0.35979050799505785,35,0,0,6,0,0
94,0.32687407301273197,0.018511925009079278,0.0004104180261492729,0.014388025971129537,0.0010462459758855402,0.0004056799807585776,0.3616963300155476,35,0,0,6,0,0
95,0.3253919319831766,0.016334052954334766,0.0002150519867427647,0.012757429969497025,0.0010348980431444943,0.000403993995860219,0.3561924729729071,35,0,0,6,0,0
96,0.3249580960255116,0.01544709800509736,0.00022918597096577287,0.01269381697056815,0.0010415910510346293,0.00034408498322591186,0.3547559940489009,35,0,0,6,0,0
97,0.32577926997328177,0.016548510000575334,0.00046941899927333,0.012845007004216313,0.0010281589929945767,0.00032294896664097905,0.35706142394337803,35,0,0,6,0,0
98,0.3173198419972323,0.015497647982556373,0.00022288202308118343,0.012716991011984646,0.0010264049633406103,0.0003401139983907342,0.3471651889849454,35,0,0,6,0,0
99,0.32555447396589443,0.01586729398695752,0.0002825430128723383,0.012404011038597673,0.0006167039973661304,0.00018802599515765905,0.35495714098215103,35,0,0,6,0,0
